iter	Logloss	Recall
0	0.5850594491	0.82
1	0.5041606986	0.88
2	0.4453258993	0.89
3	0.4010923941	0.87
4	0.36108347	0.92
5	0.3360005674	0.92
6	0.3025954963	0.92
7	0.2852080952	0.94
8	0.2629944615	0.96
9	0.2408868627	0.96
10	0.228964371	0.96
11	0.2123124989	0.96
12	0.1942326336	0.96
13	0.1862575981	0.96
14	0.1808201883	0.96
15	0.177729878	0.96
16	0.1762134216	0.96
17	0.1715947024	0.96
18	0.1619373728	0.96
19	0.1542174517	0.96
20	0.1507435171	0.97
21	0.1419364457	0.98
22	0.1419341324	0.98
23	0.1390776424	0.98
24	0.138202944	0.98
25	0.1352174296	0.98
26	0.1341465369	0.98
27	0.13286961	0.98
28	0.1253755499	0.97
29	0.116610588	0.98
30	0.1095073026	0.98
31	0.1072489969	0.98
32	0.1042385105	0.98
33	0.1008603054	0.98
34	0.1004378464	0.98
35	0.1002252868	0.98
36	0.09668909593	0.98
37	0.09469670738	0.98
38	0.0927946029	0.99
39	0.09131183495	0.99
40	0.08991576435	0.99
41	0.08980035421	0.99
42	0.0863860603	0.99
