iter	Logloss	Precision
0	0.5679486747	0.8644067797
1	0.502854244	0.8536585366
2	0.4600202326	0.864
3	0.4079357528	0.8870967742
4	0.3856751946	0.8870967742
5	0.3581292611	0.9024390244
6	0.3305478565	0.9032258065
7	0.3096735681	0.9047619048
8	0.2955508898	0.905511811
9	0.2833840937	0.9
10	0.2762570831	0.90625
11	0.2599056705	0.9069767442
12	0.2446984431	0.9140625
13	0.2325909659	0.9206349206
14	0.2285574059	0.9206349206
15	0.218272073	0.9206349206
16	0.2162202352	0.9206349206
17	0.2052055598	0.9291338583
18	0.1997251951	0.9212598425
19	0.1986040883	0.9212598425
20	0.194035882	0.9285714286
21	0.1893772595	0.9365079365
22	0.185437262	0.9365079365
23	0.1839521945	0.9365079365
24	0.1801134444	0.937007874
25	0.1793540119	0.9444444444
26	0.171325982	0.937007874
27	0.1678044281	0.937007874
28	0.1649423257	0.9444444444
29	0.1597430476	0.9527559055
30	0.1589738793	0.952
31	0.1567922044	0.9527559055
32	0.152668104	0.9523809524
33	0.1511340387	0.9523809524
34	0.1487688717	0.96
35	0.148615514	0.96
36	0.1484829233	0.96
37	0.1474157447	0.96
38	0.1461514585	0.9603174603
39	0.1398690428	0.968
40	0.139043494	0.968
41	0.1348635553	0.9918032787
42	0.1347337879	0.9918032787
43	0.134637117	0.9918032787
44	0.1292058363	0.9918032787
45	0.1268160013	0.9918032787
46	0.1254846812	0.9918032787
47	0.1253574273	0.9918032787
48	0.1237903575	0.9918032787
49	0.1199440948	0.9918032787
