iter	Recall	Logloss	Accuracy
0	0.8699186992	0.4356409022	0.8539823009
1	0.9349593496	0.3114875244	0.9159292035
2	0.9430894309	0.2623198201	0.9203539823
3	0.9593495935	0.2204508019	0.9424778761
4	0.9674796748	0.2115664737	0.9469026549
5	0.9593495935	0.2064712463	0.9469026549
6	0.9593495935	0.1764845461	0.9513274336
7	0.9593495935	0.1632790531	0.9513274336
8	0.9593495935	0.161061558	0.9513274336
9	0.9593495935	0.149909611	0.9513274336
10	0.9593495935	0.1498234453	0.9513274336
11	0.9593495935	0.1414820987	0.9601769912
12	0.9837398374	0.1116964949	0.9778761062
13	0.9837398374	0.1057059481	0.982300885
14	0.9918699187	0.09924767726	0.9867256637
15	0.9918699187	0.09866816996	0.9867256637
16	1	0.08957042088	0.9911504425
17	1	0.07991950301	0.9955752212
18	1	0.07160958755	1
19	1	0.06362749394	1
20	1	0.06183461316	1
21	1	0.06145137256	1
22	1	0.05646569299	1
23	1	0.05200546329	1
24	1	0.05116922175	1
25	1	0.04494294017	1
26	1	0.04141927299	1
27	1	0.03720980434	1
28	1	0.03474224491	1
29	1	0.03228045607	1
30	1	0.03127383005	1
31	1	0.03127380248	1
32	1	0.02930065387	1
33	1	0.02903996549	1
34	1	0.02748422306	1
35	1	0.0266813295	1
36	1	0.02552520508	1
37	1	0.02447885892	1
38	1	0.02362551528	1
39	1	0.0231845698	1
40	1	0.02249638265	1
41	1	0.02166604861	1
42	1	0.02158786591	1
43	1	0.02135573106	1
44	1	0.02079391485	1
45	1	0.02024187734	1
46	1	0.02003556994	1
47	1	0.01947285705	1
48	1	0.01880291084	1
49	1	0.0181093101	1
50	1	0.01737060008	1
51	1	0.01702933679	1
52	1	0.01672037187	1
53	1	0.01634378746	1
54	1	0.01593740681	1
55	1	0.01552890868	1
56	1	0.01535631855	1
57	1	0.01512360311	1
58	1	0.01470294824	1
59	1	0.01411960504	1
60	1	0.01396790602	1
61	1	0.01356544533	1
62	1	0.01309185992	1
63	1	0.01297618391	1
64	1	0.01276443548	1
65	1	0.01249859597	1
66	1	0.01239126958	1
67	1	0.01212800637	1
68	1	0.01165253638	1
69	1	0.01149811527	1
70	1	0.01145966246	1
71	1	0.01145960022	1
72	1	0.01119904993	1
73	1	0.01058854296	1
74	1	0.01013040505	1
75	1	0.009941604976	1
76	1	0.009871013293	1
77	1	0.009809468453	1
78	1	0.009658984062	1
79	1	0.009508840601	1
80	1	0.009358026184	1
81	1	0.009357945704	1
82	1	0.009299650418	1
83	1	0.009106979809	1
84	1	0.008963651828	1
85	1	0.008891178834	1
86	1	0.008782620653	1
87	1	0.008611877956	1
88	1	0.008524163164	1
89	1	0.008439090962	1
90	1	0.008326747865	1
91	1	0.008243851948	1
92	1	0.008161047004	1
93	1	0.008073430565	1
94	1	0.008073273192	1
95	1	0.007863232491	1
96	1	0.007739986867	1
97	1	0.007615193503	1
98	1	0.007533713455	1
99	1	0.007532627564	1
100	1	0.007387635072	1
101	1	0.007223119523	1
102	1	0.007105482934	1
103	1	0.007105482934	1
104	1	0.007063688999	1
105	1	0.00706361109	1
106	1	0.007018978285	1
107	1	0.006919886401	1
108	1	0.006847902625	1
109	1	0.006810337466	1
110	1	0.006759034932	1
111	1	0.006758939238	1
112	1	0.006741952166	1
113	1	0.006741947856	1
114	1	0.006636334645	1
115	1	0.006636270152	1
116	1	0.006636203724	1
117	1	0.006594240755	1
118	1	0.00659352121	1
119	1	0.006540810584	1
120	1	0.006347097637	1
121	1	0.006241016292	1
122	1	0.006240972761	1
123	1	0.006240695293	1
124	1	0.006231415248	1
125	1	0.006230681343	1
126	1	0.00615136597	1
127	1	0.006095683665	1
128	1	0.006008548282	1
129	1	0.006008496658	1
130	1	0.005928244613	1
131	1	0.005928069484	1
132	1	0.005928015069	1
133	1	0.005927852196	1
134	1	0.005803673664	1
135	1	0.005754999737	1
136	1	0.005754978899	1
137	1	0.005699462273	1
138	1	0.005699382978	1
139	1	0.005662223283	1
140	1	0.005556781729	1
141	1	0.005515163306	1
142	1	0.005477039743	1
143	1	0.005408787109	1
144	1	0.005408608148	1
145	1	0.005408582852	1
146	1	0.005408422166	1
147	1	0.005406209698	1
148	1	0.005406148375	1
149	1	0.005406099653	1
150	1	0.005350749515	1
151	1	0.005350585228	1
152	1	0.005278196619	1
153	1	0.005248046324	1
154	1	0.005247972376	1
155	1	0.005247954712	1
156	1	0.005166418115	1
157	1	0.005166379204	1
158	1	0.005165999805	1
159	1	0.005165912961	1
160	1	0.005123395021	1
161	1	0.005097575081	1
162	1	0.005078333008	1
163	1	0.005077907584	1
164	1	0.005077833258	1
165	1	0.00500322432	1
166	1	0.004998442339	1
167	1	0.004998409524	1
168	1	0.004954053917	1
169	1	0.00488266235	1
170	1	0.004842743098	1
171	1	0.004842673645	1
172	1	0.004842535303	1
173	1	0.004778693981	1
174	1	0.004778685157	1
175	1	0.004778599808	1
176	1	0.00477855729	1
177	1	0.00477771677	1
178	1	0.00477746883	1
179	1	0.004777447257	1
180	1	0.004777435644	1
181	1	0.00477743204	1
182	1	0.004777420153	1
183	1	0.004744290208	1
184	1	0.004715642617	1
185	1	0.004715556624	1
186	1	0.004715486673	1
187	1	0.004671043444	1
188	1	0.004670996805	1
189	1	0.004670993545	1
190	1	0.004670963885	1
191	1	0.004670919584	1
192	1	0.004670915863	1
193	1	0.004670906616	1
194	1	0.004600243262	1
195	1	0.004559986981	1
196	1	0.004559818141	1
197	1	0.004559771582	1
198	1	0.004559459084	1
199	1	0.004559403316	1
